probe_cost,failure_penalty,irreversible_rate,method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
0.08,4.0,0.0,oracle_assignment,10,64.0,0.0,64.0,65.272,105.325,-41.325
0.08,4.0,0.0,probe_all_local,10,65.272,0.0,272.9,65.272,105.325,-40.053
0.08,4.0,0.0,replan_on_failure,10,105.325,6.8875,64.0,65.272,105.325,0.0
0.08,4.0,0.25,behavior_tree_fallback,10,65.256,0.0,207.7,65.256,107.425,-42.169
0.08,4.0,0.25,gcs_eager,10,65.256,0.0,272.7,65.256,107.425,-42.169
0.08,4.0,0.25,gcs_lazy,10,65.256,0.0,299.97,65.256,107.425,-42.169
0.08,4.0,0.25,oracle_assignment,10,64.0,0.0,64.0,65.256,107.425,-43.425
0.08,4.0,0.25,probe_all_local,10,65.256,0.0,272.7,65.256,107.425,-42.169
0.08,4.0,0.25,replan_on_failure,10,107.425,6.85,64.0,65.256,107.425,0.0
0.08,4.0,0.5,behavior_tree_fallback,10,65.272,0.0,207.9,65.272,111.8,-46.528
0.08,4.0,0.5,gcs_eager,10,65.272,0.0,272.9,65.272,111.8,-46.528
0.08,4.0,0.5,gcs_lazy,10,65.272,0.0,300.19,65.272,111.8,-46.528
0.08,4.0,0.5,oracle_assignment,10,64.0,0.0,64.0,65.272,111.8,-47.8
0.08,4.0,0.5,probe_all_local,10,65.272,0.0,272.9,65.272,111.8,-46.528
0.08,4.0,0.5,replan_on_failure,10,111.8,6.775,64.0,65.272,111.8,0.0
0.08,4.0,0.75,behavior_tree_fallback,10,65.28,0.0,208.0,65.28,117.75,-52.47
0.08,4.0,0.75,gcs_eager,10,65.28,0.0,273.0,65.28,117.75,-52.47
0.08,4.0,0.75,gcs_lazy,10,65.28,0.0,300.3,65.28,117.75,-52.47
0.08,4.0,0.75,oracle_assignment,10,64.0,0.0,64.0,65.28,117.75,-53.75
0.08,4.0,0.75,probe_all_local,10,65.28,0.0,273.0,65.28,117.75,-52.47
0.08,4.0,0.75,replan_on_failure,10,117.75,7.1,64.0,65.28,117.75,0.0
0.08,8.0,0.0,behavior_tree_fallback,10,65.264,0.0,207.8,65.264,130.25,-64.986
0.08,8.0,0.0,gcs_eager,10,65.264,0.0,272.8,65.264,130.25,-64.986
0.08,8.0,0.0,gcs_lazy,10,65.264,0.0,300.08,65.264,130.25,-64.986
0.08,8.0,0.0,oracle_assignment,10,64.0,0.0,64.0,65.264,130.25,-66.25
0.08,8.0,0.0,probe_all_local,10,65.264,0.0,272.8,65.264,130.25,-64.986
0.08,8.0,0.0,replan_on_failure,10,130.25,6.625,64.0,65.264,130.25,0.0
0.08,8.0,0.25,behavior_tree_fallback,10,65.264,0.0,207.8,65.264,142.8,-77.536
0.08,8.0,0.25,gcs_eager,10,65.264,0.0,272.8,65.264,142.8,-77.536
0.08,8.0,0.25,gcs_lazy,10,65.264,0.0,300.08,65.264,142.8,-77.536
0.08,8.0,0.25,oracle_assignment,10,64.0,0.0,64.0,65.264,142.8,-78.8
0.08,8.0,0.25,probe_all_local,10,65.264,0.0,272.8,65.264,142.8,-77.536
0.08,8.0,0.25,replan_on_failure,10,142.8,7.075,64.0,65.264,142.8,0.0
0.08,8.0,0.5,behavior_tree_fallback,10,65.264,0.0,207.8,65.264,152.65,-87.386
0.08,8.0,0.5,gcs_eager,10,65.264,0.0,272.8,65.264,152.65,-87.386
0.08,8.0,0.5,gcs_lazy,10,65.264,0.0,300.08,65.264,152.65,-87.386
0.08,8.0,0.5,oracle_assignment,10,64.0,0.0,64.0,65.264,152.65,-88.65
0.08,8.0,0.5,probe_all_local,10,65.264,0.0,272.8,65.264,152.65,-87.386
0.08,8.0,0.5,replan_on_failure,10,152.65,7.475,64.0,65.264,152.65,0.0
0.08,8.0,0.75,behavior_tree_fallback,10,65.264,0.0,207.8,65.264,154.1,-88.836
0.08,8.0,0.75,gcs_eager,10,65.264,0.0,272.8,65.264,154.1,-88.836
0.08,8.0,0.75,gcs_lazy,10,65.264,0.0,300.08,65.264,154.1,-88.836
0.08,8.0,0.75,oracle_assignment,10,64.0,0.0,64.0,65.264,154.1,-90.1
